record_id,diagnosis,treatment,notes,date_of_visit,create_at,update_at,pet_id,vet_id
019bdd13-2698-4c2b-85d4-05c0177ccc4c,Pancreatitis,Flea treatment,Administer insulin after meals,10/22/2017,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,98db2799-2fb5-4ddb-bbe2-01666a37adb9,90f8c645-608f-4326-9683-6e9b91e1c469
9fc330e9-74c2-46ed-aafd-7e72e6a5694a,Arthritis,Antibiotics,Administer insulin after meals,12/30/2024,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,bb50416d-eabd-48c3-9784-913fb9f4f26a,2c7c2c60-3a11-4e88-abec-fd423ee25cc7
78aa9c3e-5804-44c5-8cd2-fd5386d446a2,Urinary Tract Infection,Wound cleaning,Avoid interaction with children until fully recovered,1/15/2023,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,04548bbb-4234-45cc-9b8d-15c8a9ffb494,3c3068a5-c174-476a-aba0-6d6d40d097ce
e1c00328-5d89-4962-8708-6f1a1c371faf,Feline Leukemia Virus,Eye drops,Limit water intake,2/22/2003,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,d1f0d10a-59b5-4e0c-aa9c-2f3b7a698305,2c7c2c60-3a11-4e88-abec-fd423ee25cc7
e0832807-1e99-4110-9b8f-d9f5da00b26b,Heartworm Disease,Bandaging,Avoid scratching,11/11/2023,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,4c151b1b-524b-4dc8-b463-937c320a9bf1,aa52c7ec-b63d-48a0-bd96-8515b6cfc07e
b89a17b5-10c1-4b10-85a0-819589450dc5,Dental Disease,Antibiotics,Follow-up visit required,2/20/2006,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,4a196194-f1e7-4bda-84f5-b10624b32665,a9f4a9ea-e300-41f2-9ec1-da286d86e81e
20a1f421-2815-40e9-8aaf-ff2874c8d820,Hypothyroidism,Eye surgery,Keep pet indoors,2/12/2018,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,3641bbcc-2992-459a-8f00-d1c465ac073c,04503ce2-1243-46f9-ae42-1af6f8ad168b
e39e4ac9-4dcb-4528-9582-be0a95469352,Mange,Antibiotics,Avoid strenuous exercise,6/22/2005,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,705e1024-da37-4d7e-b993-f09f26ff2561,ff80b442-fa33-47bc-ae1c-62dfcda5af4f
e1e40f6b-e9ba-48ad-909a-e1484513e917,Arthritis,Heartworm prevention,Limit treats,10/24/2012,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,f6773a39-6935-4285-9b07-21cecdcd8868,6b000f15-eaa0-4b50-84c5-386276863b15
95da42fb-0d43-45c9-88fd-8ba142a4a35c,Urinary Tract Infection,Dental cleaning,Administer insulin after meals,8/29/2000,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,cc475ac1-20c4-47f7-9fc8-98a636c8d711,214b2ba1-82ec-4777-9c73-11930c64b1f3
77416ac6-ec83-420f-a9dc-63ecffdb7d02,Canine Parvovirus,Ear cleaning,Requires special diet,1/7/2012,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,f7abc95b-584c-4e0f-b790-f71d2a340dc2,843d6843-d4b7-4bc6-b4bd-b1178d1fe38a
1238a22b-1b57-4c95-936e-13cd4abd1504,Allergies,Acupuncture,Do not feed after 8pm,10/22/2005,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,9a0f3d31-4088-4cbf-9310-b3311940a679,e35e3077-e068-434f-b35b-34afcae9c7d4
e2317304-0179-4f6b-a9fc-700e3730d7e5,Kennel Cough,Antibiotics,Avoid direct sunlight,4/6/2023,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,2778204e-7aab-4b3e-8f06-a173c013ebd8,d3b1e076-fa39-451b-978c-1ec5f2ab9e62
4bb844df-b4f9-42b1-bb19-d2007eb53481,Pancreatitis,Nutritional therapy,Wear a cone for 5 days,2/11/2016,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,3d26751e-39cb-4492-a71d-a4ccf433c9ba,fdabea79-f3ff-4311-93b4-9976c17350f5
2f6794a2-dc11-45c1-ad86-5d030743a122,Obesity,Behavior modification,Record symptoms for next visit,5/8/2022,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,9ee16fbe-13e2-49b2-801c-e361569b8e06,d3cee14d-a1c3-4e19-ab98-92b4990320de
f9159f32-5e03-498b-a799-1feff9d3ea16,Pancreatitis,Eye drops,,10/4/2006,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,e1bb2eee-c42e-41d2-a7b8-e05b8bb9ede3,06879170-70e7-47e0-804c-214d61f5d003
60ca52c0-8dbb-4059-934e-b5dfbfd7b339,Vomiting,Nutritional therapy,Follow-up visit required,11/1/2012,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,f6f8e8b2-23db-405a-b929-205287d06466,869eecfc-f289-447a-abda-c96b192d9079
06ee52fd-399d-4158-b0a0-48f39f3b9b23,Arthritis,Anti-inflammatory medications,,9/9/2012,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,33a97172-3a3d-4951-8b11-87857396cb24,e9e79837-7736-46ba-980c-9590776a4e68
1d277a78-f9a2-46b3-9368-4e20fa63f57c,Kennel Cough,Cold compress,Requires special diet,3/22/2021,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,4bc793d2-a334-4e1a-a9ae-9c87161bb818,80ba6dea-0188-4dcd-b625-2a6960147fca
f65635d1-7e56-4ffe-940e-82abb425c839,Respiratory Infection,Laser therapy,Ensure sufficient hydration,11/12/2006,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,9b1451dd-f07a-4125-8f43-12b845b38ac8,22cfc2d6-a583-4199-a599-69af90e6be42
a974abbf-9e8c-41c9-b65e-dc101dbd18bf,Canine Parvovirus,Dental cleaning,Clean ears regularly,6/5/2001,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,1d687154-c546-41ce-b504-b394237fd8c3,105597e4-2d76-445a-9dbf-bde5a3b43468
91f9b3e5-47df-46bc-8016-0c6f1b6e35b0,Ringworm,Heartworm prevention,Check for swelling,9/13/2023,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,44536867-5812-4df4-8a36-11e16742f63e,de52a307-8248-4c00-977c-f4160d9cd3e8
ee144fce-aeb2-4044-ba8f-5a05f808b2ec,Hypothyroidism,Physical therapy,Monitor weight regularly,8/26/2005,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,2330fd1d-ac71-48e7-8260-dcc9f4bbdd84,95f7dd28-b84a-4567-81c0-e53695328131
fcdbf78e-2797-4e5f-a014-4e6db745b7e1,Autoimmune Disease,Heartworm prevention,Clean ears regularly,5/18/2010,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,fc63b5e5-7685-4163-a115-bebf51564ce1,8b3bf1eb-e145-4462-b600-02bb14e25c69
03600770-54d9-4f18-9c47-0133f881b0c9,Diabetes,Bandaging,Administer medication twice daily,9/19/2013,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,03042c53-f849-4b54-99e1-6442b45c6ba8,591d2afe-1b54-49b2-b807-3dfbe357b606
974229d6-bb96-41e6-a6dc-869626f10265,Vomiting,Insulin injections,Monitor for signs of infection,6/13/2021,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,63435159-d3ac-457a-96ed-f24e6130a036,3c3068a5-c174-476a-aba0-6d6d40d097ce
be4ea776-a354-48d6-ae8b-de1c1411ee55,Fungal Infection,Decompression therapy,Record symptoms for next visit,9/3/2019,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,846ae093-77c8-4f40-82e8-0bd1ac931069,bd46dcb1-77be-4bd9-9ea1-628bd24763ab
9234dc57-4da2-4f4a-80de-e11fbc81e89a,Kidney Disease,Eye drops,Monitor appetite,4/22/2011,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,a72e7468-263c-498a-bf53-67a1a67345de,75139bb8-d800-42c7-9545-c9d3cfa628c1
4a8a1a0b-5783-4b3d-84be-bc55818cec32,Mange,Flea treatment,Regular vet check-ups recommended,9/2/2003,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,7cdd60dd-590c-4280-a249-9b93f1f0b821,3c3068a5-c174-476a-aba0-6d6d40d097ce
6ec40a7d-eb32-47e6-a60a-687a5972520e,Torn Ligament,Wound cleaning,Administer insulin after meals,11/29/2019,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,9e7613a5-5a9f-4055-8ead-47f2f04e0910,3889a284-e09b-4474-9570-0900d8832a1d
22e7ec6b-0090-4dec-b231-3d0a332b6808,Fungal Infection,Nebulization,Do not feed after 8pm,10/28/2017,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,db9660ff-ceac-44cf-84ee-8f49f2fa7eda,6f15ac7b-e857-41ae-b67b-b176dd8cedbc
a3e7233d-9297-4c48-a865-0d5e1bf4345f,Torn Ligament,Heartworm prevention,,1/26/2025,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,385df729-382f-40d0-bd47-7b960a6b9a69,82852627-7d5e-4d6e-8721-4a2572fe0a35
45b2b89c-7710-4ecd-8ef9-76e20743dc03,Arthritis,Bandaging,Administer medication twice daily,5/10/2004,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,4f16cabb-776e-4ff2-97d5-e4ff07b2dae1,3c3068a5-c174-476a-aba0-6d6d40d097ce
ac866142-cde8-4c7c-a0f4-8be29553c25a,Ear Infection,Decompression therapy,,9/20/2006,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,09cf2458-e432-4b1c-aee4-4df29c336069,1c42e31c-c28b-4345-8116-39641c629011
737c3a7b-302e-4690-8a46-54d03a5166d4,Ear Infection,Cold compress,Monitor weight regularly,12/12/2009,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,c884c326-a1b6-4b2a-a383-798441b48d79,6420d4a4-df96-479c-bbf0-cfb2d078ecf7
dec46bb9-15b1-4d9f-8b0a-f3176894f6d0,Cataracts,Chiropractic care,Monitor appetite,12/2/2020,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,7e3ac777-1f84-4ef5-83a4-3723a9e7b82c,92c667c9-9dc8-4c9a-a4c7-5ef3572a997f
a25d17e1-c9cf-4bd6-8705-4d52d75ebd9f,Kidney Disease,Anti-inflammatory medications,Keep wound dry,3/4/2001,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,a8077e71-f7bb-4441-80b5-35cf5fbe4faf,df24be23-3319-49ac-a0cf-bacd4af8629e
6cff799a-f708-4492-ac85-34465ee2cd2f,Torn Ligament,Bandaging,Needs grooming every 2 weeks,4/20/2005,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,9edb3065-9fb9-4486-bf9a-9d85e9ebe6c3,f9afc424-5634-40df-ae60-96d332a70aa6
ea6c0e53-acde-428d-9b59-937ebd00be03,Heartworm Disease,Antifungal treatment,Administer insulin after meals,12/2/2003,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,ee89b3bd-5785-4056-9167-aca82823f943,46a18e9b-874f-465c-9eeb-9f42b5c782de
d0123c77-db96-465b-a678-793513eec8c9,Mange,Ear cleaning,Follow-up visit required,11/1/2010,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,eea32b22-e3e6-4c24-bd97-86a026095d6f,700f536e-1c77-40d0-900d-b2b70b429a87
61fb6742-71e8-456b-8856-9d250f8879a4,Pancreatitis,Hydration therapy,Monitor weight regularly,9/21/2009,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,44536867-5812-4df4-8a36-11e16742f63e,d3ead0f3-f2ff-4a9d-bbae-6fedf298b34f
976759fd-b187-426d-888a-7cd1b38eaf75,Fungal Infection,Ear cleaning,Avoid direct sunlight,12/9/2020,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,7bd7850f-d872-462f-88ff-9b26a60bae72,ad838a0b-2f6b-4517-ac01-6efa8c08f04d
1e368d77-4a2f-412a-b3ad-a77266604997,Autoimmune Disease,Bandaging,Needs grooming every 2 weeks,12/10/2005,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,ab94cbb9-579e-4a5f-bb62-cc258e75b579,4910bbcc-43c9-4354-9475-d68f3084f2c0
90113427-1cb6-490f-8988-e44916897c43,Anemia,Anti-inflammatory medications,Regular vet check-ups recommended,8/24/2021,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,822ff7dc-39ac-451d-873e-6ab8d195a904,21c929ea-69b1-4422-823b-35f2b4a913a9
5b0c5b00-4e29-48ba-9bda-276d5bc9d653,Cataracts,Deworming,Monitor for signs of infection,2/11/2003,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,94436956-f019-4f17-aba4-ea31559fb151,4d268e1f-3cdd-497c-a49c-bc6d75c3eeab
53f5b34b-20db-4894-8f2b-504684da27d1,Ringworm,Special diet,Do not feed after 8pm,8/16/2020,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,e210c4ef-870b-4356-875d-5f5b42834704,d3ead0f3-f2ff-4a9d-bbae-6fedf298b34f
fb696ef4-83e0-4760-89e2-404733a823c2,Cushing's Disease,Eye drops,Keep pet's environment calm,10/22/2011,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,911b65ae-e8db-4735-b50c-017994cc97b2,53f34619-10ca-4e6b-9bb9-98af7cf40298
fab1c190-18c9-43e0-ab05-cdf00994b0c0,Gastritis,Dental cleaning,Follow-up visit required,11/19/2004,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,6484ebaf-104e-4dae-8429-7b9b60ae9020,a475c392-782c-4a95-a3d5-e0d6b81de409
ac525802-3888-459a-9727-07cf3beb674c,Dental Disease,Special diet,Reduce stress levels,5/15/2010,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,8ce41e64-d7f1-4b5c-bd97-a299e6e0d202,2b504649-8c6f-44f3-8d5e-d2f45d47deab
572cdd37-967c-4c5c-b9b1-7e2779a04ef3,Tumor,Insulin injections,Monitor appetite,4/30/2013,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,9050a535-b2b8-4123-8dcd-fa6ff3e9a643,e502413f-1446-4859-ad29-42cf0b23affc
3ed523dc-4835-498e-8511-f85c99c20bea,Mange,Bandaging,Avoid scratching,1/29/2022,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,44c789bb-51a8-4c5b-b0e6-97aa3969e71d,f9afc424-5634-40df-ae60-96d332a70aa6
9f989b1c-0af0-4825-a579-25136b2f6761,Obesity,Pain relief,Do not feed after 8pm,10/11/2000,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,2db0408b-74ec-42d2-a56a-fb481596deca,9224d36c-02f0-4bbf-ba4e-534de88ecbc4
a17a97bd-6a4b-4dd8-9aa2-1ccc690c1044,Hip Dysplasia,Chiropractic care,Administer medication twice daily,3/15/2025,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,44536867-5812-4df4-8a36-11e16742f63e,e35e3077-e068-434f-b35b-34afcae9c7d4
624adcb0-060b-4fec-8720-805def57d4fa,Heartworm Disease,Decompression therapy,Follow-up visit required,6/7/2024,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,44536867-5812-4df4-8a36-11e16742f63e,591d2afe-1b54-49b2-b807-3dfbe357b606
17636816-e1a0-4f16-970f-bf9e5973401b,Diabetes,Joint supplements,Regular vet check-ups recommended,12/4/2017,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,bceab4ff-8d8c-4658-bdcc-4640b9604f0a,4d268e1f-3cdd-497c-a49c-bc6d75c3eeab
c32dedfa-7831-46af-a275-e64a47bfac02,Obesity,Radiotherapy,Wear a cone for 5 days,2/17/2022,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,a98c5490-67b3-4cda-a84a-ddc2add79632,fdabea79-f3ff-4311-93b4-9976c17350f5
117235e3-df9c-4915-ae16-8b96e4ed8867,Torn Ligament,Skin creams,Keep pet indoors,11/23/2015,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,ff14bce8-c14a-445f-aa25-5c26f9c4bfd5,b3763f22-e06d-40db-b94f-25fbd158a4f0
5bdf3e51-fa20-4728-a8d1-8930d6900aa4,Fungal Infection,Cold compress,Avoid direct sunlight,10/18/2009,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,25f01b18-7067-4a73-a15f-20140606bb6f,6f15ac7b-e857-41ae-b67b-b176dd8cedbc
