stay_id,check_in,check_out,room_number,special_care,pet_id,staff_id
4962e309-9efc-4707-87b1-16c0057a9dfb,12/14/2012,11/5/2011,SA7753,Special care for dental health,61bf5f44-55dc-43c3-84e8-e24d8664c53b,053713f3-b33f-48a3-abf5-8c2dfab04c85
a6d1a2c2-96e1-4515-8954-3d103bcdd0cf,5/10/2023,9/8/2014,AC2166,,59556840-fbd9-4fa7-adb2-e0d6028628f3,040a1b87-271d-48cd-8906-3b584bf768aa
8e57acb0-a10f-4989-b675-87e33691cd94,12/19/2007,1/7/2020,AV3392,Must be kept on leash at all times,96c8922a-4db5-49b7-be1e-8a11445e9863,120c31f0-f20e-4e69-a4ad-024f7cbc7518
02f08f0b-2752-4b1b-9e98-8d8c524907c3,11/14/2014,4/15/2016,SA8756,Needs regular ear cleaning,8555049c-c3ac-4486-b97d-aef91727ac98,caf6b969-eb23-400f-836e-41f9c55a0e4e
2b4441ee-2631-4c5d-b9f5-b5a7791a5d3c,1/17/2016,8/5/2012,WN4624,,5645af95-fb84-497e-9fe0-e6dd141b722f,6ac97a4a-3cb7-426f-9f16-ea700a4749d7
a536c700-8bed-4f49-84b2-1f29a241dda7,4/24/2004,9/3/2011,ET5945,Requires specific flea treatment,a6e5b3a8-6c42-4cbb-b715-2cbcbe678151,7d5c62ab-dcb8-4dd1-8de9-12c0787c4367
3b140976-7955-462b-a2fd-ff967f580b94,9/19/2014,10/14/2007,AA7995,Must be groomed gently,f6f8e8b2-23db-405a-b929-205287d06466,c3fe3fdb-cea2-4a62-be78-4c10714d61c8
3f098bfe-87e7-4258-a08f-99d99476570c,7/30/2019,5/27/2011,AM6788,Requires special bathing products,a26603bc-9fec-4f89-ac70-d452b0b775f2,7ecf7727-7970-47fb-a86b-72ba25d6f4c8
137e196f-931d-4fe9-9752-e5456a9710a3,10/31/2014,5/5/2004,AI1979,Must be checked for skin irritations,b65558a7-1b5d-41b3-9049-4adec914595c,b269d019-21fc-4990-bd31-33fd8165458b
a41df7be-e5ae-42bc-ae4f-a5570cfa329a,1/5/2001,3/8/2003,AC9537,Avoid stress or sudden movements,049f8766-ad1b-4910-9891-be91c739fc78,f631237c-8a08-4b8a-a368-8a4233404dd6
fe734c7e-2a4d-453d-9aaf-8d32c23729a5,10/9/2013,11/23/2006,LA9766,,015e45c3-df0f-4924-a81b-c64c779e4ee8,988a967b-7d8d-42f9-81ec-a5fdbfae1f01
eb3c3157-a1ce-4669-9f8b-4bddc9e4fce9,4/2/2022,7/31/2011,ET3060,Must be kept warm,dc75706f-e161-4c9d-ae03-576d8fa52cf8,6ee9f494-b192-4be5-a671-f47866777a74
4141e5dc-1c61-4b58-8fa0-f3f62060f588,3/26/2007,3/4/2015,EK7276,Avoid too much sun exposure,993b04c4-4714-423b-a146-41246db840c3,c77d7d5e-3edf-4385-a623-eb6755c5637f
918257d3-9cad-4c2a-8b79-32c2e76ccc37,9/23/2017,9/24/2023,CX4721,Needs a special diet,8f9871a8-a6bd-4f15-8e91-a9f740e6c4ad,8499c576-c90e-428f-a69c-8992a8eb31b1
c4f1d490-c23a-4117-9c8a-c1b2b01742fb,12/19/2014,11/9/2002,AV5916,Regular hydration,312d65a1-e4b9-488b-91a3-b07791123ab9,e5532741-5577-422e-9105-28d7929467f5
21721147-26c2-4667-b104-da3858602319,5/24/2018,6/18/2015,AV5838,Avoid too much sun exposure,e4b3a930-178a-4a0f-80ac-461b255dd1fa,bd10350f-2fb6-41fe-827d-d8342db442cd
0a69ba82-078f-42d4-b97b-775d5b82c41e,4/8/2010,12/22/2011,DL8835,Needs regular vet check-ups,1cc83fa4-079f-4ca2-9de0-9a1a88c8b256,f21964c5-db3e-4b57-81fe-b6b0bcba8f80
c58ae4fc-5596-434e-b06b-70fe40e33d86,3/16/2020,4/9/2003,AC5159,,3fab74fe-ad48-4fb0-a8a3-ea2edf71c6d5,9f072d7e-2ae1-4992-a02b-3eb96c2c338e
383a5785-92ce-4352-b156-87febd58170b,6/7/2023,11/7/2024,AM6488,,6278525f-be5e-4638-8f91-ee2ccf2abc9c,80fcff5f-14af-4221-9273-3279125ac847
98786864-2b10-47bc-aeb0-ac5c2d0f275b,7/28/2010,3/25/2009,NZ3240,Requires gentle handling,4f16cabb-776e-4ff2-97d5-e4ff07b2dae1,cad85ce6-23de-4cc4-9e49-fac639778dac
847989bd-4740-45be-9cdb-e2db4842753b,11/9/2003,12/8/2001,LA4664,Needs regular ear cleaning,f48a95d3-269b-46ee-9167-27c1f8efff2b,4cae8538-ecff-4cc6-a8cc-cd89f1e6c8ca
fe5ad135-ccd6-494e-a56f-fef476c85253,12/4/2022,9/15/2003,WN9069,Needs frequent short walks,5710388c-f97e-4937-8d7f-589fcb7df53f,4e932fe1-3e71-4831-8ad6-2712b88204a4
3424e35f-d703-4fa6-b9dd-4d7e07c3c20a,7/26/2008,2/8/2024,UA5646,Must be groomed gently,78b93210-e6c9-48f3-8e3d-9570eff0de36,b7596692-e5bf-4c37-a899-8914ed931dee
880f5319-c954-45cb-bdb7-02cc672d4491,5/18/2016,6/27/2001,LA2312,,d11793f1-c4a3-4f4b-b89b-1d4ec5196980,7ecf7727-7970-47fb-a86b-72ba25d6f4c8
04fd2376-b8ed-4af2-a557-c3fce6a1ba8d,10/8/2005,2/22/2004,EK5091,Avoid exposure to bright light,8da930e2-f1c4-4eba-bc3d-87da6daf5661,5fe1fd70-b82d-4c74-99fe-613b6da89ece
7d777cfc-3b8b-4ea6-ad1d-1d6ee4af88c4,6/4/2017,8/9/2016,CX9990,,5b842675-36fc-4ef1-b183-48f5cd85a740,b1b11210-6b4f-4632-ab7c-f37db90d09f8
14b8f1b5-7e3c-45b1-95be-348bc40cd88e,5/2/2024,3/31/2014,KE3954,Special care for dental health,3eaa3358-17a7-46cb-abaa-c9a821b26ced,150468d5-9310-434f-9853-ac9c9a13c384
7afaf06b-05f1-4aa3-bfcd-bc988acf1d42,10/5/2012,9/11/2024,SA2449,Needs frequent short walks,bb30275b-c1fb-4ef5-bb6c-a75c743cac30,8e0cb857-abe1-490a-9519-95aebbd5770f
a46e1732-2fb5-41c8-ae88-0bdd2ba0874e,7/13/2018,11/27/2008,AM6493,,a20b67cf-3e27-4e49-a8af-6d2cbb168bf5,8499c576-c90e-428f-a69c-8992a8eb31b1
b7ce233c-7459-4aed-aa27-e3ed38f84b6a,9/30/2021,6/19/2020,AC9727,Avoid exposure to bright light,15539fb7-5196-4065-94fb-ce1de20ef922,dd38f3c5-c57d-4b6e-88e7-627db081ffa9
d187660c-37b9-422f-b004-fa3c48936e30,12/4/2001,4/30/2017,ET5592,Special care for post-surgery recovery,4039c7c6-b9b3-45e5-90eb-dd20a3da6d06,29549e64-1715-47a3-af68-a0b722e65edc
b6ccb9ad-2959-4a2d-987c-3ae4c9e75f2d,8/16/2007,4/30/2020,AI8824,,c19684bb-1b68-467a-99f2-b979207e0917,a9154f06-e973-4529-bcf3-fc7733cc28f7
7ee0b63a-3a68-4510-a02d-a5c1d723f426,7/31/2016,4/20/2016,AF9216,Needs extra attention due to age,b96cd56f-c123-4edf-b364-46cd0d6c9d95,8cda449c-acc1-47a6-9fa0-661db32b0ee8
44b97ce1-fc2c-42a1-a4d0-24378a47e4f3,9/27/2020,2/22/2023,TG1140,,0a73f3f0-0604-4ef2-aeea-0ffda0e40381,01243cca-3841-4158-b375-4cf95720f081
c2c9dd86-465d-4654-9d89-62af48199eb1,12/15/2008,1/1/2018,KE3049,Needs assistance with mobility,4023d06e-7905-48a7-b40b-13ca8303b9e2,7d5c62ab-dcb8-4dd1-8de9-12c0787c4367
58717a6f-d116-4e91-8f9e-e9bf5029450a,11/1/2017,12/20/2023,SA3491,Requires special bathing products,4c4895ff-6fc2-49bd-ac5b-ce70f2f2859a,1a21fac8-684b-4f13-b265-3c2234080641
c1bc233a-a7f7-416b-8721-2042bc1f3331,1/13/2006,10/28/2021,WN9021,Must be kept on leash at all times,9759651f-644a-46e3-9bea-d8b23f664599,f4e0ba35-e6eb-4047-818d-c55fb84eba0b
aafcef74-133e-46e0-bfbe-7e59499abd72,6/8/2016,6/30/2002,UA1324,,d305ac2f-3dc4-4c4f-b43f-558b3dfd9ca2,c61acd9c-bad9-4353-8957-429c6b2e702e
4e0e34c4-d856-4f31-a20d-5510a347365f,7/29/2012,10/29/2004,KL7090,Requires gentle handling,ab22ee16-03c6-4766-8069-9c88edbe55d0,6d851902-c0e0-4612-afa8-002be4e5b27e
0d9039c3-da11-4423-a90a-0087286e6dc8,7/26/2008,1/10/2023,WN2805,,bb78f929-507e-41ee-a42e-92c639f6caa1,e4148937-626c-4053-9e9e-df25343e0bb9
46a138ac-4d49-4402-94f5-15d3b6d291bd,1/6/2018,7/2/2020,AC6932,Needs regular vet check-ups,a1d464d3-79b0-484e-8213-179f4a621adf,c644bf08-e946-472b-89da-29f6d6abac17
0b1edcf5-bd13-409e-8a7c-04a7a576ffa7,2/14/2024,7/6/2014,KE6519,Avoid stress or sudden movements,6484ebaf-104e-4dae-8429-7b9b60ae9020,97db9295-e740-4097-a2a8-562d830d0291
07066f44-70b0-44a0-899a-ecbd750aa0be,8/2/2024,10/2/2023,AM6221,Requires gentle handling,aac13d4b-c4e6-4fea-817a-d246f8a7ce84,72deb1e3-6649-4abe-9f87-2ba435e88b12
60cc983b-23a0-448c-a591-28935e6e49db,5/1/2022,3/2/2018,SA3726,Needs regular vet check-ups,abcc5604-0a3c-40f9-a3c7-238c2ad3b784,e0116204-1c52-4e68-ae53-0b079a01da2e
f408fb46-a837-4ade-95c5-ab5585d7abe2,5/4/2009,8/8/2020,BA4990,,fec7e619-2cbd-4a5c-bfb3-7963d1c71e41,988a967b-7d8d-42f9-81ec-a5fdbfae1f01
4060687f-94a6-4dc6-bdbf-3b18e0504c45,5/27/2021,2/23/2004,QF3876,,2fbf9828-be69-4fc7-99f8-5729e11284bb,6f671115-16aa-4ad8-9036-bd8dea75fb95
49488018-4ab0-42e2-9b25-b5f8c8c3b046,12/27/2015,6/24/2013,NZ7696,Must be kept indoors,98d025fe-c7f9-4a03-b0ee-a07c2583e244,c3fe3fdb-cea2-4a62-be78-4c10714d61c8
aa6f698c-e5ca-4069-a656-7a4e7a279690,7/14/2018,2/2/2019,NH6392,Must be groomed gently,6da51d96-5970-40e0-b256-1d1757be4a05,c77d7d5e-3edf-4385-a623-eb6755c5637f
dba3089b-024b-4d04-bae9-6cc66b800561,5/7/2016,12/11/2016,ET2634,,18ce9e6e-abf5-41a8-ac95-bd793699ffcf,1a40a0d2-cec2-4514-901d-97f352b3c471
2bcf2449-9dd9-4afa-a691-bca568e8938e,7/22/2008,2/16/2007,KL2728,Must be monitored for allergic reactions,234f4d30-e4bd-4ff8-ad23-420ef6aa8dd4,74a63dc4-b751-47a6-bd4a-b88d15949325
0527bd99-1d76-4798-a4fe-04b70c06339c,10/22/2009,9/18/2017,AF9202,,d6271cfb-f135-47b7-912b-2fb12168eed5,4f21b0a5-d33b-4de6-9ced-d8866f7c8539
98c43a1d-3fdc-420f-aa2b-63e8eab99a1d,2/20/2015,1/12/2008,TG5265,,4d4c37a3-90f6-48ec-ac3c-21b5754a6eaf,86df1b87-0747-4748-8bf7-17dd9c4c13fc
5ef46be7-5bff-4472-b541-e115352742a1,1/19/2016,4/10/2009,SA7022,Needs extra attention due to age,2c756be5-a635-40ae-9454-f67cc75acb0f,43846b2c-e792-4f9c-8cb2-3534fc607fc3
a7d2962a-0d1f-4f8f-b042-79e4513eaa14,5/24/2007,1/12/2015,AA1670,Needs rest and quiet environment,24874bfa-d5dc-4afc-91ca-181a69e90cd2,5718e850-a7b4-4973-8bc7-9024e8de7f1c
090e367c-22ee-4440-bab2-129b16722dff,8/23/2003,8/31/2013,NZ4752,,027ed66c-bb1d-4dab-9076-67c814f1563f,77f8434e-5ce3-4408-b567-f8574252c188
e85df857-1bdb-4364-83a7-748c732921f6,11/3/2006,11/6/2008,CX3985,Needs extra attention due to age,a5606f66-456e-4e56-9467-4218068ae1dc,6d851902-c0e0-4612-afa8-002be4e5b27e
153daa2b-9c6e-4727-b5bf-cdcc639bbb52,8/14/2006,12/20/2008,LA2996,,b8f5def8-bb92-4a4d-b43b-fad7a1323db3,0a072ed0-8644-4e9b-9642-eac56eb9be23
6cba6347-014d-4d50-a0db-f5110a9a3ff7,12/9/2007,11/3/2007,EK1320,Requires special bathing products,29802eba-4f5d-46f5-a5bb-340c050c9509,b269d019-21fc-4990-bd31-33fd8165458b
8aca4795-e3f0-4ac3-b6c6-f32936a4ce0f,10/30/2020,9/1/2013,AF1364,,a5606f66-456e-4e56-9467-4218068ae1dc,b7596692-e5bf-4c37-a899-8914ed931dee
f2f624e8-20af-4c73-a14e-902633ff830b,9/15/2021,8/25/2002,KE7517,Avoid exposure to bright light,822ff7dc-39ac-451d-873e-6ab8d195a904,ca3ef9ee-70e3-4531-ab54-57ee5febade5
c2a895bc-a084-4abf-9c7a-a633541e242e,12/15/2020,4/5/2016,QF5892,Must be checked for skin irritations,9a65cc96-f605-42cd-acf8-61a6eb23a047,762e8ac4-f21a-4cbf-a141-0f107166bb8a
4d0085bc-77c9-4970-8bfb-c0777df51a04,6/27/2004,2/25/2006,NH3833,,59594d96-c64b-4d0d-8902-ee8b0de46d46,a9154f06-e973-4529-bcf3-fc7733cc28f7
fb048953-e23b-4967-b535-5aeb126b3b0a,7/15/2021,1/2/2022,DL4421,Avoid high-energy activities,1f4398bd-85db-4201-8fcb-2b0256fbd806,b1ef3d0d-da58-4be4-88b9-0e8b8bef3ee4
628183b8-84d9-4499-b9bf-00f9e40bbbd8,8/12/2010,9/21/2008,KL5155,,dee529f6-3f3a-412e-a371-6368786bf145,584795f4-f313-47e2-b4b1-44ce3ed36153
8cb4e953-0e03-47aa-a095-d6da207894d2,8/17/2015,6/28/2006,IB8526,,670375f3-33f1-4291-b0c2-9c1848062723,0a072ed0-8644-4e9b-9642-eac56eb9be23
ee65d9c5-5d28-4166-8ae2-ba0d77b9acb5,7/1/2004,5/31/2011,AF4156,Needs a special diet,ffb63a11-70e2-441a-b839-00bd81731e5d,150468d5-9310-434f-9853-ac9c9a13c384
f849d8a4-f5f7-491f-acc7-f5a6d48a43c8,3/13/2010,12/27/2010,QR4567,,ae128c7c-66a9-49cf-afd2-83cc3d64db44,acafc289-d4eb-4e89-a6fa-907b89ba74fd
4a5d3253-9cf6-4e0b-9aed-1114c06d758d,6/7/2014,7/8/2003,NZ2873,Needs assistance with mobility,483da358-b6bf-4ca1-b802-fbcf729b7786,0ad70aa8-4b6d-43d3-883a-42f1fafbbcf9
b33d40bc-9eb6-49e0-bced-8646b0b36397,8/28/2000,1/15/2001,ET8030,,58a899bf-cb78-42aa-928a-da4c2561174b,442d9052-e7ae-4445-abee-0d54ab499a27
202a3edb-0e7c-4ccc-94b9-da9a1d96a7cd,9/22/2011,2/9/2007,KE9706,Must be monitored for allergic reactions,3641bbcc-2992-459a-8f00-d1c465ac073c,bacb6ea8-4cc2-470b-a0df-7ba914009094
d5a3c95f-79bb-4900-a164-cadf2f65c392,10/9/2005,7/12/2008,NH8513,Needs regular vet check-ups,ea61edeb-35c1-45cd-a852-42239e77c6d5,17baa183-d4c9-4ff8-9720-4242540e2095
6d4992c9-fc88-4261-9f5f-cf3a1986f349,4/24/2005,7/1/2009,AM9801,Regular eye drops,331f00ee-acaa-4661-8c17-db9e5b7ab539,58c495c4-74f4-4b79-979a-0415e9c6e6d1
ba8f9369-7f19-42a4-b616-e8e93228236b,8/27/2016,3/1/2023,AA4284,Avoid exposure to bright light,7c624bf5-2163-4593-9f84-c4e4ba8ae6fc,a9154f06-e973-4529-bcf3-fc7733cc28f7
63d3fa38-8b78-4a93-ab52-e02627a4f164,1/22/2011,9/27/2014,LH5493,Requires medication for anxiety,b87c9da3-feb5-46e9-af53-dda698175ee0,cad85ce6-23de-4cc4-9e49-fac639778dac
b59b8a88-0dc5-4598-8911-c9328f4454bf,9/11/2018,3/24/2013,WN1387,Special care for dental health,1fff87ef-2da2-4a3e-9b19-5ccca572a2a3,96bff401-44b0-41bf-a8f7-be7984101ef7
bfeb337c-53cd-49cb-9342-62ecc440f9c5,3/24/2010,7/12/2022,UA4214,Needs frequent short walks,4d6187e9-53db-4022-ac1d-6f754a4a17ab,584795f4-f313-47e2-b4b1-44ce3ed36153
99f2a96f-7a2c-4632-af9c-8ce3b12dc88f,12/9/2016,5/22/2013,AI5832,Avoid stress or sudden movements,d7b5451b-679d-40c0-af56-f240e122a467,5c5025c2-8b1c-43c7-ab57-1b686817c021
27569326-7b2a-405a-b544-5a4b62f95a87,2/22/2005,1/2/2019,QF5613,Must be kept warm,147de1f9-7333-47cf-ac61-b7b79847f341,220e3838-5b19-4bf4-b019-1d3c4fe08fc8
e1411e00-da48-44dc-8887-5dd5326c6d69,6/15/2011,4/28/2015,AV2802,Avoid too much sun exposure,d96386d7-e0f2-45a2-8857-0edaeae4a3ba,1a40a0d2-cec2-4514-901d-97f352b3c471
611257a1-02b5-499e-93c7-14958faf2893,12/29/2010,2/20/2024,BA7967,Avoid exposure to bright light,3d84e5d1-9b93-4e81-9c5e-ef9d9ae381a0,6143512c-f7d1-41bd-bacf-fd4cd790b297
eba0e94d-21f7-4132-a8c4-268716458efb,9/26/2024,6/3/2004,LA6417,Avoid high-energy activities,3e44b13e-bf4b-4473-a32f-d67ba77ad64d,c77d7d5e-3edf-4385-a623-eb6755c5637f
af6207d4-dbab-431c-8758-e1085298c26b,2/28/2025,4/2/2019,NH2891,Requires special bedding,e110060e-aedb-442b-96c2-afd42bb7736c,e4a7c82c-8e42-4c1e-b1ea-6ce6fbb43d68
6c5bd2a4-0745-44e3-a62a-506a4672e73a,10/10/2021,4/22/2005,AA1114,Needs extra attention due to age,ceef7fb9-6235-465e-bbbd-7040655afa95,54659c5b-01e5-4fed-a960-88e75d563c52
21fa7831-7a1c-447b-9dc9-0c5e78451134,9/14/2020,5/30/2017,AV2185,Needs a special diet,8533cc91-8303-4e6f-956b-bc12598d589a,7d5c62ab-dcb8-4dd1-8de9-12c0787c4367
cf358846-914c-4276-ba62-27b9738c96a2,4/13/2022,6/28/2017,NH4553,Requires gentle handling,7ffc7668-d9e5-45bc-af3a-2379424ed931,1c08946a-c7af-40ef-a6ff-d7e31e52fd24
ea151ab9-d8d5-46f2-9876-87063945e06f,3/19/2024,12/6/2020,ET9707,Requires gentle handling,1b608ce3-1ead-476d-a019-5902c7f64212,1c08946a-c7af-40ef-a6ff-d7e31e52fd24
a26bbb36-420e-477c-820d-b2a734173b18,4/24/2004,2/13/2010,KL2810,Needs rest and quiet environment,027ed66c-bb1d-4dab-9076-67c814f1563f,508d26b7-1d68-43c2-b124-6bf3ca0a9f98
cb7a9cdd-b859-4caa-802c-225d4ce1aaab,1/13/2017,4/23/2014,ET7584,Must be kept warm,f638cee4-7ffc-404c-9ffe-b2572bb36f60,fc6d272a-e514-4b83-91ce-fd9154554f00
f71a8c68-437a-4456-9e6d-7b0a3ddfdc8c,3/13/2011,4/17/2021,SA6086,Needs assistance with mobility,c840a15f-d3ab-4cea-bfd5-05daac8ea95f,157cea7b-93f6-4484-8c7c-3b8dd2488616
4ab7a325-ff8b-4e5f-acab-6f717e1cda75,12/26/2014,8/30/2000,NZ8863,Requires special bathing products,cc475ac1-20c4-47f7-9fc8-98a636c8d711,d2ad82d1-f686-481c-9a29-765ad1fd2a1b
34fb2500-6773-47b2-bffd-c8be815fc560,11/25/2000,9/4/2002,NZ7965,Avoid stress or sudden movements,4b40d7ca-e27e-40f5-bed1-8ea599e5e388,5cb4db40-4a0b-4504-878a-1813c2d56473
381adad6-4c68-446d-8b83-a6eb89a13cff,7/10/2003,1/23/2011,EK5171,Special care for post-surgery recovery,33a97172-3a3d-4951-8b11-87857396cb24,6619e9c2-cd0c-4d63-abb5-300cff1107ba
ba74dec4-baa1-4eac-9127-a85fae36f3d1,5/17/2000,6/27/2004,QF5081,Must be checked for skin irritations,ea773fed-233a-4886-a665-efeb3011c0a7,f8d173cf-1ae4-4886-90ee-d3019db2162e
4c439974-8160-499a-ac87-f181f1e811c0,3/8/2014,5/24/2024,SA7036,,6d18b4f1-21ee-445c-a04d-214804a86bb0,74a63dc4-b751-47a6-bd4a-b88d15949325
3e4a70da-6713-49a9-ab1a-bb73ed82941b,5/5/2000,6/27/2016,DL1117,Requires daily medication,eb013a56-91ed-4812-af16-aedfb87eb87e,2dfa3cb6-8e1e-42d6-9334-56fdd6035c10
1ec5e845-de60-4baf-9176-624138a29958,1/25/2020,3/11/2020,SK6642,Avoid high-energy activities,3d29102c-859f-4e82-91f4-21122d56a23b,dab552dd-9544-48ef-9438-a9def7ca4f13
6fd0df3b-e3c2-41f5-9cb8-b976fcfdc89c,7/27/2002,1/3/2019,QR1441,Needs extra attention due to age,f5a3ca12-b7f4-49e6-a8ff-31a77ab839df,508d26b7-1d68-43c2-b124-6bf3ca0a9f98
756d2be3-5c05-47c0-8fc9-2d6ceffaaf08,10/8/2008,8/20/2014,SA4317,Needs extra attention due to age,32e35a4b-70a0-4bb1-9d63-1cdb7029918f,2b3f83d3-249b-4c26-816e-2bf68a066252
26e92419-79a9-4abc-bdcd-360e301e6a2d,8/10/2022,6/29/2000,AV3025,,61bf5f44-55dc-43c3-84e8-e24d8664c53b,0b5f28ce-e11a-4589-aa3d-b49b50d329c2
ba94864a-cf0c-4933-9dc2-76a77c621539,8/18/2023,12/5/2015,NZ4231,,cec364de-f2d8-41ae-ab02-8876e9c8d3f6,b7596692-e5bf-4c37-a899-8914ed931dee
cca1b613-aa62-4ca2-a865-8abe0575149f,1/17/2024,10/12/2001,DL5812,Requires daily medication,c6751772-f498-446e-b657-f3244d9f00b2,6d851902-c0e0-4612-afa8-002be4e5b27e
008554fb-c4e1-45fc-ad67-0cfef95a55db,10/3/2007,9/12/2005,KL2077,Requires special bedding,81edc088-b15b-41b4-b83a-1286a28abe26,b379e324-1b90-4a95-8983-4fed36413fb9
e05931cb-9992-4330-8e00-13f3f22d7e11,4/11/2011,2/14/2014,AV8998,Must be groomed gently,29a6fb61-33d3-4df6-8bbf-f624170382f7,6619e9c2-cd0c-4d63-abb5-300cff1107ba
1d775437-1acc-43ca-9e7f-c11e4f50dfa0,3/28/2024,12/27/2019,AZ7376,,14d52c19-69c2-4d30-a444-1d699ab539b0,3b47a831-5007-4f3e-839f-b557eb561c23
11a28f71-95d2-43fa-9f73-30498f306f46,3/7/2014,12/29/2001,AF9068,Requires specific flea treatment,e769e4f1-901f-4e22-8446-ef70e43b8be4,7d5c62ab-dcb8-4dd1-8de9-12c0787c4367
9477b800-2b98-4e43-ac39-d1a8ad5e458f,8/28/2017,2/15/2007,WN4006,Avoid too much sun exposure,668031f2-941d-4900-8b68-ed146cb72a90,43c4431c-e919-4d11-82e8-74e354761952
a9ed0275-461e-4d64-a3f0-fc7e40d61c3b,4/1/2024,1/29/2014,CX6238,Requires special bedding,911cc0d9-0418-4fec-89f4-bda98b877c77,988a967b-7d8d-42f9-81ec-a5fdbfae1f01
df935241-afa9-4d29-b83a-f7219f8388ca,2/13/2022,12/26/2022,ET6234,Needs extra attention due to age,17ffb86f-ca01-4510-8814-7fbe335bf200,632f0415-ff55-4937-9a9c-4ebc4e370876
033899ac-0852-4802-93ba-6cd7a0e5b174,2/2/2012,6/3/2000,DL8353,,c5516088-06b6-48ed-9b62-6d93d54b1b4f,0ad70aa8-4b6d-43d3-883a-42f1fafbbcf9
25bb441a-9790-4b78-9f3e-c0653cc53fd5,2/4/2025,9/16/2024,AC8354,,88902bcf-4e25-425b-ba18-260fd4999679,eb6f2b61-b3f7-427e-bb7e-a932ad0355ac
86a156c9-609f-450b-bd18-8a3ffec37fb3,11/5/2016,5/2/2020,AI5694,Requires gentle handling,78cfbc3e-df02-427c-80e4-84326a83d084,2d93dcee-7b81-4aa2-94f0-c1ca4772c4f8
2c425c2c-11a9-4197-bd5b-13ecdcc253a6,2/12/2008,11/6/2021,LA9061,Requires specific flea treatment,662c16ed-055c-4647-ad20-b9d33e46f973,b59dd49f-466b-4c15-ae05-0db8ab810263
56dd9f6e-39aa-4065-86aa-f479a3b6b454,10/9/2016,1/11/2019,AA4577,,0cb61ac8-284a-44db-9d5a-b78f047b2b5c,f631237c-8a08-4b8a-a368-8a4233404dd6
c4e55777-c49e-405c-ae56-7e9f8b523fe5,10/11/2009,6/28/2013,BA3718,,1bfa7434-a8f7-4b6e-85f2-eaeabfbb52c4,4b3bba6d-399c-4450-9fdf-b2a7a50e6787
39777578-0984-4c0b-934c-f7300e5d69ed,4/16/2009,9/11/2002,QR9847,Must be checked for skin irritations,3237775a-58a8-4918-b161-69e0f7cfa512,b59dd49f-466b-4c15-ae05-0db8ab810263
873e86aa-c13f-4841-a4d3-0e25f9364b4d,6/2/2023,8/2/2000,TG1034,,4bc793d2-a334-4e1a-a9ae-9c87161bb818,6d851902-c0e0-4612-afa8-002be4e5b27e
f2b5fc18-7ecd-4e18-8d69-d472a81e51f9,1/18/2022,4/10/2011,AC8831,Avoid stress or sudden movements,a91206e0-5f6a-4c56-91c3-43dc9010546e,1a40a0d2-cec2-4514-901d-97f352b3c471
0e75b3c9-343a-4b79-93e0-7ac0fb7e3c27,5/19/2009,3/23/2009,AM3012,Has sensitive skin,776abc1e-9882-4b5a-bc3b-77d978e9b76e,988a967b-7d8d-42f9-81ec-a5fdbfae1f01
